기준일,종목코드,종목명,수량,현재가,비중(%),섹터,국가,통화,환율
2025-12-31,RACE,페라리(RACE),26,369.5599976,,,미국,USD,1437.910034
2025-12-31,RMS.PA,에르메스(RMS.PA),5,2122,,,프랑스,EUR,1688.98999
2025-12-31,DASH,도어대시(DASH),59,226.4799957,,,미국,USD,1437.910034
2025-12-31,ABNB,에어비앤비(ABNB),89,135.7200012,,,미국,USD,1437.910034
2025-12-31,HSY,허쉬(HSY),63,181.9799957,,,미국,USD,1437.910034
2025-12-31,IDXX,아이덱스 래보라토리스(IDXX),24,676.5300293,,,미국,USD,1437.910034
2025-12-31,HD,홈디포(HD),29,344.1000061,,,미국,USD,1437.910034
2025-12-31,OTIS,오티스 월드와이드(OTIS),102,87.34999847,,,미국,USD,1437.910034
2025-12-31,MNST,몬스터 베버리지(MNST),172,76.66999817,,,미국,USD,1437.910034
2025-12-31,AXP,아메리칸 익스프레스(AXP),34,369.1300049,,,미국,USD,1437.910034
2025-12-31,067160.KQ,SOOP(067160.KQ),140,67000,,,한국,KRW,1
2025-12-31,DEO,디아지오(DEO),70,86.26999664,,,미국,USD,1437.910034
2025-12-31,000858.SZ,오량액(000858.SZ),500,105.9400024,,,중국,CNY,207
2025-12-31,3690.HK,메이투안(3690.HK),700,102.8000031,,,홍콩,HKD,184.8081818
2025-12-31,2801.JT,깃코만(2801 JT),1000,1422,,,일본,JPY,9.193496704
2025-12-31,UBER,우버(UBER),121,81.70999908,,,미국,USD,1437.910034
2025-12-31,V,비자(V),3,350.7099915,,,미국,USD,1437.910034
2025-12-31,KOSPI,KOSPI,,4214,,,,,
2025-12-31,S&P,SPX,,6845.5,,,,,
